,sacrum height,hump position,horn length,withers height,muzzle circumference,stripe mullet,body length,tail length,distance base horn,head length,sex,age,genotype
233,112.0,0,24.5,107.0,35.0,0,88.0,98.0,13.0,44.0,0,6.0,0
234,113.0,0,27.0,105.0,33.0,0,84.0,108.0,10.0,46.0,0,3.0,0
235,116.0,1,41.0,109.0,36.0,0,95.0,115.0,13.0,47.0,0,10.0,0
236,117.0,1,35.0,112.0,34.0,0,100.0,119.0,14.0,47.0,0,8.0,0
237,117.0,1,41.0,113.0,34.0,0,83.0,100.0,14.0,47.0,0,8.0,0
238,123.0,1,56.0,117.0,37.0,0,88.0,99.0,15.0,48.0,0,10.0,0
239,114.0,1,16.0,109.0,36.0,0,81.0,90.0,16.0,47.0,1,3.0,0
240,123.0,0,51.0,116.0,38.0,0,96.0,115.0,13.0,48.0,0,7.0,0
241,99.0,0,33.0,98.0,32.0,0,77.0,102.0,12.0,43.0,0,6.0,0
242,100.0,0,14.0,93.0,36.0,0,83.0,100.0,13.0,40.0,1,3.0,1
243,98.5,0,14.0,100.0,38.0,0,77.0,100.0,15.0,39.0,1,4.0,1
244,91.0,0,6.0,91.5,33.0,0,71.0,73.0,14.0,36.0,1,4.0,1
245,88.5,0,14.0,90.0,34.0,0,74.0,82.0,13.0,37.0,1,3.0,1
246,106.0,0,22.0,101.0,38.0,0,79.0,101.0,14.0,44.0,1,5.0,1
247,96.0,0,13.0,92.5,35.0,0,67.0,85.0,12.0,38.0,1,4.0,1
248,104.0,0,24.0,102.0,35.0,0,80.0,106.0,13.5,43.0,1,6.0,1
249,98.0,0,12.0,92.5,36.0,0,99.0,92.0,12.0,37.0,1,4.0,1
250,127.0,1,43.0,115.0,38.0,0,95.0,107.0,14.0,48.0,0,8.0,0
251,117.0,1,20.0,114.0,37.0,0,83.0,109.0,12.0,46.0,0,6.0,0
252,121.0,0,24.0,105.0,34.0,0,86.0,108.0,15.0,45.0,0,6.0,0
253,121.0,1,23.5,106.0,35.0,0,86.0,112.0,14.0,44.0,0,6.0,0
254,130.0,0,32.0,107.0,40.0,0,89.0,97.0,14.0,46.0,0,9.0,0
255,121.0,1,44.0,114.0,37.0,0,91.0,121.0,13.0,47.0,0,8.0,0
256,128.0,1,44.0,111.0,38.0,0,87.0,116.0,14.0,46.0,0,8.0,0
257,128.0,1,22.0,111.0,36.0,0,89.0,107.0,14.0,47.0,1,3.0,0
258,131.0,1,27.0,108.0,39.0,0,90.0,105.0,12.0,45.0,0,6.0,0
259,120.0,1,22.0,112.0,37.0,0,87.0,107.0,14.0,46.0,1,3.0,0
260,111.0,0,25.0,106.0,37.0,0,82.0,106.0,14.0,45.0,0,5.0,0
261,116.0,1,28.0,108.0,36.0,0,90.0,114.0,11.0,44.0,0,7.0,0
262,117.0,1,40.0,111.0,36.0,0,85.0,126.0,18.0,47.0,0,8.0,0
263,110.0,1,21.0,106.0,34.0,0,94.0,107.0,13.0,45.0,0,7.0,0
264,105.0,1,9.0,103.0,30.0,0,74.0,92.0,13.0,41.0,1,3.0,0
265,110.0,1,24.0,105.0,34.0,0,86.0,108.0,15.0,45.0,1,4.0,0
266,131.0,1,32.0,127.0,43.0,0,94.0,128.0,18.0,49.0,1,6.0,0
267,105.0,1,21.0,102.0,36.0,0,79.0,105.0,14.0,45.0,1,3.0,0
268,112.0,1,24.0,115.0,40.0,0,97.0,95.0,15.0,51.0,1,10.0,0
269,97.0,0,12.0,96.0,40.0,2,76.0,69.0,10.0,39.0,1,6.0,0
270,119.0,1,12.0,113.0,36.0,2,88.0,81.0,12.0,44.0,1,5.0,0
271,100.0,0,21.0,103.0,37.0,2,78.0,76.0,7.0,41.0,0,6.0,0
272,106.0,0,16.0,97.0,40.0,2,76.0,82.0,10.0,42.0,0,6.0,0
273,105.0,0,12.0,96.0,34.0,2,81.0,77.0,9.0,40.0,0,4.0,0
274,88.0,0,12.0,86.0,31.0,2,78.0,63.0,6.0,39.0,1,4.0,0
275,102.0,0,26.0,102.0,34.0,2,76.0,76.0,9.0,41.0,0,6.0,0
276,100.0,0,7.0,99.0,36.0,2,81.0,70.0,13.0,43.0,0,8.0,0
277,95.0,0,20.0,91.0,37.0,2,79.0,64.0,13.0,39.0,0,6.0,0
278,101.0,0,22.0,103.0,37.0,2,81.0,77.0,8.0,41.0,0,6.0,0
279,99.0,0,23.0,94.0,38.0,2,73.0,76.0,8.0,42.0,0,10.0,0
280,101.0,0,22.0,112.0,38.0,2,94.0,77.0,9.0,42.0,0,12.0,0
281,122.0,1,21.0,114.0,33.0,2,79.0,108.0,15.0,47.0,1,5.0,0
282,112.0,1,19.0,114.0,34.0,0,82.0,101.0,15.0,46.0,1,4.0,0
283,91.0,1,9.0,89.0,35.0,0,71.0,56.0,12.0,38.0,1,4.0,0
284,94.0,1,9.0,87.0,35.0,0,74.0,51.0,8.0,40.0,0,6.0,0
285,99.0,1,6.0,95.0,36.0,0,85.0,75.0,12.0,42.0,0,7.0,0
286,95.0,1,9.0,92.0,35.0,0,69.0,53.0,8.0,40.0,0,3.0,0
287,115.0,1,24.0,114.0,35.0,0,80.0,96.0,13.0,45.0,0,5.0,0
288,91.0,1,10.0,92.0,36.0,2,75.0,60.0,12.0,36.0,1,4.0,0
289,90.0,1,20.0,91.0,34.0,2,80.0,95.0,15.0,46.0,1,4.0,0
290,96.0,1,8.0,92.0,34.0,0,80.0,53.0,11.0,40.0,0,5.0,0
291,98.0,1,4.0,93.0,35.0,0,65.0,72.0,12.0,42.0,0,6.0,0
292,115.0,1,39.0,113.0,34.0,0,82.0,109.0,12.0,45.0,0,6.0,0
293,123.0,1,25.0,115.0,34.0,0,79.0,82.0,12.0,44.0,0,5.0,0
294,119.0,1,39.0,117.0,37.0,1,100.0,105.0,13.0,48.0,0,12.0,0
295,99.0,0,18.0,98.0,33.0,0,77.0,90.0,12.0,40.0,1,5.0,0
296,94.0,0,26.0,93.0,34.0,0,74.0,77.0,12.0,41.0,0,10.0,0
297,116.0,1,32.0,110.0,35.0,0,83.0,85.0,12.0,49.0,1,4.0,0
298,115.0,1,30.0,108.0,37.0,0,76.0,86.0,13.0,47.0,1,4.0,0
299,118.0,1,29.0,112.0,37.0,0,98.0,92.0,13.0,47.0,0,5.0,0
300,119.0,1,28.0,112.0,37.0,0,90.0,89.0,14.0,47.0,0,5.0,0
301,118.0,1,21.0,109.0,38.0,0,82.0,95.0,12.0,48.0,1,3.0,0
302,114.0,1,16.0,107.0,33.0,0,84.0,90.0,12.0,43.0,1,4.0,0
303,120.0,1,29.0,113.0,37.0,0,88.0,96.0,12.0,50.0,1,7.0,0
304,115.0,0,16.0,113.0,36.0,0,87.0,88.0,10.0,47.0,1,4.0,0
305,122.0,0,26.0,121.0,37.0,0,93.0,87.0,12.0,47.0,1,6.0,0
306,108.0,0,19.0,103.0,35.0,0,84.0,76.0,10.0,41.0,1,4.0,0
307,116.0,1,39.0,115.0,36.0,0,85.0,84.0,8.0,44.0,0,13.0,0
308,118.0,1,35.0,114.0,36.0,0,87.0,113.0,11.0,48.0,0,16.0,0
309,114.0,1,29.0,112.0,32.0,0,82.0,101.0,11.0,44.0,0,6.0,0
310,116.0,1,34.0,111.0,36.0,0,84.0,112.0,13.0,48.0,0,12.0,0
311,111.0,1,19.0,110.0,37.0,0,75.0,100.0,15.0,47.0,0,13.0,0
312,117.0,1,29.0,114.0,38.0,1,85.0,110.0,12.0,47.0,0,5.0,0
313,119.0,0,44.0,101.0,38.0,0,92.0,63.0,13.0,48.0,0,5.0,0
314,120.0,0,45.0,119.0,38.0,1,85.0,65.0,14.0,49.0,0,5.0,0
315,117.0,0,42.0,105.0,37.0,0,108.0,72.0,14.0,47.0,0,5.0,0
316,96.0,0,14.0,98.0,39.0,0,76.0,63.0,11.0,42.0,0,5.0,0
317,98.0,0,15.0,97.0,40.0,0,76.0,64.0,11.0,44.0,0,6.0,0
318,117.0,0,29.0,109.0,37.0,0,95.0,90.0,14.0,47.0,0,6.0,0
319,110.0,0,40.0,103.0,36.0,0,83.0,59.0,12.0,41.0,0,4.0,0
320,110.0,0,40.0,99.0,38.0,0,81.0,67.0,14.0,42.0,0,3.0,0
321,114.0,0,38.0,99.0,36.0,0,88.0,65.0,13.0,41.0,0,6.0,0
